Date,sentiment_compound,DASH,ETH,LTC,XRP,BTC_Price
3/21/15,,4.420482233,,1.745507139,0.009940708,260.4324966
3/22/15,,4.817217614,,1.783464497,0.009832927,265.7547969
3/23/15,0.2187,5.241173291,,1.808324149,0.01007411,266.7931763
3/24/15,0,5.520004271,,1.757566429,0.009209951,254.418526
3/25/15,0.05135,4.91575902,,1.704178682,0.008534295,244.1160005
3/26/15,0.4019,4.887595733,,1.721845327,0.00881624,252.6867368
3/27/15,,4.764593249,,1.672493936,0.008646716,247.8279136
3/28/15,,4.825509297,,1.709879967,0.008500404,251.1939849
3/29/15,0.1366,4.359519583,,1.656016082,0.008151066,243.1702398
3/30/15,0.176733333,4.119313927,,1.655348111,0.007872942,245.492433
3/31/15,0.08615,3.844735377,,1.633675172,0.007733501,244.4216457
4/1/15,0,4.143478716,,1.628913199,0.00778625,244.1595979
4/2/15,0.1854,4.34590478,,1.660898345,0.008673627,250.0324934
4/3/15,-0.218933333,4.15967655,,1.68857523,0.008624151,254.0999124
4/4/15,,4.004872439,,1.663540741,0.008519373,252.2763827
4/5/15,,4.120827637,,1.661991568,0.008746637,255.8244327
4/6/15,,3.939373171,,1.700489877,0.009175625,257.4529907
4/7/15,0.02845,3.717654974,,1.675692375,0.009316437,254.2695654
4/8/15,0.3681,3.531242104,,1.600986549,0.008801821,246.6877992
4/9/15,0.209425,3.325130367,,1.57279374,0.008689482,243.2665627
4/10/15,0.5411,3.414697619,,1.506954272,0.007705104,237.811855
4/11/15,,3.332268223,,1.476276268,0.008175906,236.0931446
4/12/15,,3.304785699,,1.483567723,0.008309974,237.2922445
4/13/15,0.47435,3.203724125,,1.422146892,0.008043856,230.1532565
4/14/15,0.31845,3.038058767,,1.368925497,0.007597199,221.2991398
4/15/15,0.3612,2.94247056,,1.355102365,0.007274972,219.4561729
4/16/15,0.2873,2.913060196,,1.421855512,0.007878215,226.9724846
4/17/15,0.4404,2.923223381,,1.425149596,0.007900403,225.5968739
4/18/15,,2.838642696,,1.387162705,0.007798739,223.0760468
4/19/15,0.4404,2.724801012,,1.413469894,0.007979803,225.1637421
4/20/15,-0.11315,2.75247435,,1.394485662,0.007854661,224.8042776
4/21/15,,3.088810852,,1.406785457,0.007832245,228.6786725
4/22/15,0.430266667,3.486762748,,1.45346276,0.007941687,235.2395362
4/23/15,0.1909,3.354029928,,1.44083756,0.007893955,234.0336553
4/24/15,0.1048,3.248690893,,1.432811429,0.008069976,232.5641469
4/25/15,,3.135731626,,1.410691765,0.007979943,228.3245417
4/26/15,0,2.976571699,,1.330758469,0.0075697,219.2844639
4/27/15,,2.944214599,,1.350112183,0.007228427,224.2763425
4/28/15,0.151991667,2.922636892,,1.363643228,0.007989793,225.7003636
4/29/15,-0.066983333,2.906588699,,1.370678279,0.007915542,225.4497765
4/30/15,0.296,2.769283626,,1.387703571,0.007988912,232.303353
5/1/15,0.6369,2.715416819,,1.402736356,0.008042379,234.4717053
5/2/15,,2.69143888,,1.408977444,0.007922875,233.644219
5/3/15,,2.842726742,,1.414059164,0.008030329,238.8556966
5/4/15,,2.894594298,,1.415650112,0.00792462,239.26993
5/5/15,0.4389,2.904454215,,1.381973212,0.007762576,234.6607053
5/6/15,0.2553,2.769168777,,1.398146417,0.00741205,232.4255198
5/7/15,0.1909,2.691005228,,1.411025201,0.007151859,233.035485
5/8/15,0.1591,2.698522759,,1.445649201,0.007286788,240.1709849
5/9/15,,2.669074244,,1.43997249,0.007367234,241.8658442
5/10/15,,2.698136682,,1.43789774,0.007320266,240.2450305
5/11/15,0,2.714757083,,1.42183547,0.007142799,241.8827991
5/12/15,0.3455,2.747735231,,1.456234358,0.006927131,241.2793632
5/13/15,0.5913,2.799274176,,1.473451461,0.006719503,241.3614744
5/14/15,0.1773,2.887045572,,1.436040311,0.006629231,237.012197
5/15/15,,3.012510769,,1.46383923,0.006615997,237.9854901
5/16/15,,2.95221822,,1.459747216,0.006405679,237.335274
5/17/15,0.6249,2.881437351,,1.447035532,0.005730342,236.4978152
5/18/15,0,2.879338267,,1.451285247,0.006332428,235.1439989
5/19/15,0.2775,2.841858485,,1.429284275,0.006396331,232.7631214
5/20/15,0.31095,2.855628942,,1.453813189,0.006370701,233.4445344
5/21/15,0.1667,2.8539637,,1.686883572,0.006444048,235.0127019
5/22/15,0.6114,2.870344547,,1.79055308,0.006711137,236.2244626
5/23/15,,2.914696349,,1.799382309,0.006827482,239.1412293
5/24/15,0,2.887330654,,1.814329426,0.00696611,239.3852354
5/25/15,,2.745431264,,1.79854789,0.006802364,237.2641787
5/26/15,0,2.638302709,,1.835229067,0.006989088,236.437349
5/27/15,0.279886667,2.688391854,,1.827940113,0.007537625,236.2891707
5/28/15,0.46435625,2.793798064,,1.813382751,0.008840871,236.2605941
5/29/15,0.4784,2.753778533,,1.828566859,0.008282012,235.9547668
5/30/15,,2.787240689,,1.697832386,0.008241475,233.0733837
5/31/15,,2.903189665,,1.665685987,0.007729676,231.7743804
6/1/15,,2.773375492,,1.646709503,0.007746051,226.0960458
6/2/15,,2.815624104,,1.674034877,0.00805915,224.801943
6/3/15,0.343133333,2.7941011,,1.668580193,0.00768694,225.5557439
6/4/15,,2.770615413,,1.706312569,0.007862528,224.9650378
6/5/15,0,2.816033602,,1.736622177,0.007785245,223.8425745
6/6/15,0,2.827150229,,1.73597807,0.007909731,224.6444362
6/7/15,-0.34245,2.812264601,,1.746898851,0.007809205,224.209171
6/8/15,0,2.759061382,,1.785386447,0.007926159,226.3323395
6/9/15,0.6369,2.709148264,,1.775253295,0.007992925,228.8924597
6/10/15,0,2.709788147,,1.766050476,0.007992956,228.4354528
6/11/15,0.50355,2.822352086,,1.769727514,0.007868271,229.5294977
6/12/15,0,2.778084101,,1.828735806,0.007905913,229.7562657
6/13/15,,2.745346664,,1.969391816,0.008019509,230.3794499
6/14/15,,2.729586221,,1.971429827,0.008318946,232.5026892
6/15/15,0.0308,2.773880654,,2.411065429,0.008942315,234.7680405
6/16/15,0.04205,2.938882115,,2.923590269,0.009310525,244.4348799
6/17/15,0.085,2.956893037,,3.065003524,0.01003224,250.7433139
6/18/15,0.508,2.943121753,,2.853105086,0.011055504,247.6591376
6/19/15,0.1909,2.954763444,,2.967492859,0.011024406,247.4614075
6/20/15,0.194325,2.866212624,,2.988806574,0.01036972,243.4206664
6/21/15,,2.850231017,,2.968931782,0.010104517,242.7219974
6/22/15,,2.878393299,,2.997067881,0.010566006,245.8354015
6/23/15,0.45005,2.864793674,,2.89995023,0.011678928,244.4313149
6/24/15,0.4019,2.829314287,,2.825481508,0.011062517,242.1211778
6/25/15,0.3818,2.832690486,,2.846267023,0.011255823,241.4894431
6/26/15,0.099966667,2.721469853,,2.920361901,0.011472031,241.7199972
6/27/15,,2.563673556,,3.050397763,0.011136411,247.2011374
6/28/15,,2.701707895,,3.507970126,0.01158379,249.7582939
6/29/15,0.052733333,2.745172262,,4.033527861,0.010941346,254.7461248
6/30/15,0.537233333,2.906149853,,4.032498145,0.011031676,262.9093365
7/1/15,0.626766667,2.904874538,,4.118017705,0.010927795,258.9524798
7/2/15,0.211194444,2.939601123,,4.147080198,0.010912344,256.1583171
7/3/15,0.548266667,3.057416796,,4.133709576,0.010703866,256.0120977
7/4/15,0,3.005929935,,4.341707725,0.009674251,257.4308501
7/5/15,0.2023,3.057966035,,5.168163959,0.009677656,266.4552807
7/6/15,0.0323125,3.079496133,,5.39121433,0.009476818,273.1071494
7/7/15,0.2732,2.965890951,,5.882522244,0.009157193,267.2072528
7/8/15,0.3477,3.037451187,,7.180054242,0.008687722,268.7201362
7/9/15,0.1265,3.466892966,,5.885855888,0.008222531,269.9452203
7/10/15,0.1895625,3.960522815,,4.242618696,0.008186879,284.5630425
7/11/15,,3.908603777,,4.906920015,0.008167802,292.752775
7/12/15,0,3.927026659,,4.885154675,0.008879414,306.3980072
7/13/15,0.322575,3.782349957,,4.678761783,0.008314374,291.2215047
7/14/15,0.116509091,3.717011678,,4.445041003,0.008533447,291.0452523
7/15/15,0.210291667,3.747246307,,3.77806815,0.008375658,289.8151637
7/16/15,0.4763,3.726687266,,3.80936447,0.008179123,281.2628127
7/17/15,0.296,3.847947093,,3.967806429,0.00800191,277.5549649
7/18/15,0.36345,3.69773711,,3.863552094,0.008210235,278.5963644
7/19/15,,3.642121475,,3.790729317,0.00810929,275.6386874
7/20/15,0.2202,3.670061008,,3.892704936,0.00771625,277.6628146
7/21/15,0,3.624598614,,3.858076557,0.007767893,279.2197171
7/22/15,0.7644,3.605330071,,3.800199175,0.007585371,276.5355963
7/23/15,0.4404,3.562371419,,4.230668494,0.007481651,277.0981791
7/24/15,0.32985,3.697475772,,4.62823316,0.007696612,284.8487054
7/25/15,0,3.737127964,,4.614622469,0.008046459,288.9213224
7/26/15,,3.736635908,,4.664702937,0.00837561,290.8197923
7/27/15,0.34,3.696206294,,4.972468967,0.008357203,291.3948167
7/28/15,0.23765,3.704373944,,4.949328881,0.008456762,294.4555066
7/29/15,,3.658230338,,4.668748038,0.008479303,290.8851909
7/30/15,-0.049333333,3.690255905,,4.697485798,0.008476161,287.8153294
7/31/15,0.280466667,3.660959495,,4.341939439,0.008307567,286.3690796
8/1/15,-0.2263,3.617624382,,4.064702974,0.00820307,281.5055013
8/2/15,0.426625,3.598730275,,4.223646322,0.0080727,280.0104166
8/3/15,0.2202,3.660858379,,4.324252536,0.008206354,283.368569
8/4/15,0,3.584833794,,4.354117767,0.008130918,283.3072373
8/5/15,0,3.597458865,,4.233227561,0.008053837,283.2865605
8/6/15,,3.337685244,,4.147927855,0.008061669,280.3083888
8/7/15,0.280573333,3.284276681,1.265260931,4.172136454,0.008592281,279.3329473
8/8/15,0.118325,3.262815675,0.773042108,3.998659268,0.008878024,270.2594799
8/9/15,0.047525,3.072895087,0.666570308,3.930072488,0.008795747,264.0572616
8/10/15,0,3.110274411,0.871530641,4.001287679,0.008428504,265.2140934
8/11/15,0.1589,3.082210424,1.115983012,3.942282809,0.008000698,265.9806546
8/12/15,0.479425,3.068340074,1.617853212,3.935928763,0.008128025,268.7838854
8/13/15,0.142675,3.039191863,2.0181343,4.003031736,0.008070522,265.2159566
8/14/15,,3.013435247,1.712420673,4.007295857,0.00818716,265.6443742
8/15/15,-0.2732,2.978878718,1.3859537,4.040885398,0.008242514,265.6305007
8/16/15,,2.994542619,1.346758869,4.016483603,0.007956971,259.6922605
8/17/15,,2.924205572,1.243253929,3.992137307,0.008172564,258.6254522
8/18/15,,2.826552037,1.325828511,3.742612649,0.008329851,245.0677001
8/19/15,0.148,2.72144078,1.364268602,3.546946747,0.007557774,231.8335549
8/20/15,0.5917,2.755586972,1.472842779,3.576313937,0.007700793,233.7114869
8/21/15,0.3612,2.751568838,1.444908792,3.588888578,0.007792125,234.2087608
8/22/15,,2.631796653,1.341910212,3.45452351,0.007471742,228.2144699
8/23/15,,2.597925991,1.35773469,3.29793001,0.007714467,229.7339759
8/24/15,0.24545,2.450612974,1.176803158,2.913551881,0.007315328,218.2377016
8/25/15,0.259233333,2.463195147,1.084989938,2.847909306,0.007008471,214.7861201
8/26/15,0.225716667,2.615272552,1.172504848,2.963283694,0.007504326,227.8872265
8/27/15,,2.52938672,1.163234762,2.83395198,0.007422001,226.9031266
8/28/15,,2.581471013,1.171060921,2.876599542,0.007373675,229.7810858
8/29/15,,2.584876734,1.317016311,2.860878602,0.00787759,230.811319
8/30/15,,2.550326121,1.334382088,2.818062882,0.007632746,228.9365883
8/31/15,0.4926,2.54450357,1.373380264,2.836438228,0.007780613,229.3136794
9/1/15,,2.491504327,1.310587558,2.790563794,0.00767768,228.4344021
9/2/15,0.041083333,2.502680549,1.244766428,2.711821972,0.00763193,228.7748834
9/3/15,0.6471,2.421123241,1.26858478,2.683079552,0.007539443,227.9843612
9/4/15,0.64585,2.388333791,1.292612853,2.780364948,0.007584958,229.7079992
9/5/15,,2.443192146,1.286432214,2.973400002,0.007481093,233.930367
9/6/15,0.8955,2.417554649,1.267081707,3.036932568,0.007697901,240.5594035
9/7/15,,2.267596381,1.234991057,3.041464255,0.00774111,240.7061526
9/8/15,-0.4215,2.499258931,1.256011641,3.010510418,0.007722457,243.6874933
9/9/15,0.1642,2.389262608,1.180707666,2.961633445,0.007575708,240.2698498
9/10/15,0.4008,2.370978722,0.998269863,2.936242277,0.007374966,238.9039864
9/11/15,0.6249,2.436742134,1.046659969,2.938238714,0.0076331,240.3368953
9/12/15,0.27055,2.398486188,0.985896943,2.878556076,0.007774267,237.9634722
9/13/15,0.128,2.305148149,0.903975894,2.389320701,0.007532997,231.7845305
9/14/15,,2.335648166,0.939853895,2.802464813,0.007576108,230.1369271
9/15/15,0.6588,2.373414619,0.925998046,2.82029569,0.007362408,230.6518658
9/16/15,,2.382604918,0.858052655,2.827996758,0.007217622,228.8402816
9/17/15,0.2463,2.383740632,0.84382103,2.902637018,0.007288397,231.3042488
9/18/15,,2.401615429,0.872923201,2.921043716,0.007322923,233.2884
9/19/15,0.2942,2.413714778,0.907952706,2.842995296,0.007253663,231.8204743
9/20/15,0.34,2.411000353,0.935022485,2.832432874,0.007238415,231.1854175
9/21/15,0.3818,2.424693543,0.890331862,2.802205219,0.007080083,228.0954625
9/22/15,0.27545,2.443786672,0.89491878,2.842202001,0.006622554,229.3922426
9/23/15,0,2.407715397,0.827491104,2.867943085,0.006535379,230.6061883
